,LKOH,SBER,GAZP,TATN,NVTK,GMKN,VTBR,PLZL,ROSN,SNGS,RUAL,MOEX,IRAO,MTSS,CHMF,NLMK,PIKK,PHOR,AFLT,RTKM,MAGN,ALRS,TRNFP
RUAL,0.3744886023102373,0.42778013781658625,0.3636493698478772,0.35597134591673135,0.4015418247408813,0.5271459810186893,0.3026959983513598,0.2524843093365967,0.4071467939236395,0.37152277860467003,1.0,0.31404668112613304,0.3025140053187715,0.3288667235326569,0.37683854571295594,0.41074442507869574,0.3012259792624013,0.2635443320816259,0.3416567534544736,0.32383024426545487,0.3929043840295483,0.39211924574137075,0.23101613913727437
MOEX,0.4193002084388456,0.5166996057394775,0.4232478380634371,0.4189327556628054,0.43024406625741884,0.387842561781265,0.3761261828142244,0.2623900228016081,0.4614814384087832,0.43720724975219516,0.31404668112613304,1.0,0.4160186757827904,0.38327873331487794,0.40290955578076326,0.38141827454137595,0.35923418995140166,0.20247123212693569,0.3984048069062843,0.35410508405799834,0.39484631305734047,0.4203084342815859,0.34723021236677576
IRAO,0.43505268740845743,0.5115821173563144,0.44791762191556833,0.4597550521077147,0.42705218922259175,0.3539522349319282,0.4382489500889706,0.2678154893129472,0.5108025090530413,0.4666612650594782,0.3025140053187715,0.4160186757827904,1.0,0.4655198439732096,0.4147559747115095,0.3894419857616874,0.31465797327998296,0.12322988828419405,0.45540879469320283,0.3939537080606248,0.3945294587588691,0.43251001831529856,0.40628743274758944
MTSS,0.4182176521693441,0.49390487849402925,0.42873143476329234,0.4206513393922843,0.4001835882282345,0.3855356939368137,0.39703148264408633,0.24927938210288278,0.46367824331170154,0.4368271142988503,0.3288667235326569,0.38327873331487794,0.4655198439732096,1.0,0.40895095583403934,0.4173302180695225,0.3417082359653451,0.1409402115076632,0.4473170133200027,0.3855019799310878,0.37299774892551063,0.40297018653028965,0.3621956485774916
CHMF,0.411034142656255,0.45450880186671244,0.42679466580147524,0.4195394563932508,0.4520257654741025,0.4896618951755876,0.38538075933202864,0.25149001260963094,0.4606624616079104,0.4230160683686037,0.37683854571295594,0.40290955578076326,0.4147559747115095,0.40895095583403934,1.0,0.7023369838760941,0.3833211811500968,0.22671684340966589,0.40255641450226104,0.40659223242228626,0.6270539537753421,0.445325579807463,0.3823562388954895
NLMK,0.43299468160461785,0.45388371328902327,0.42962327507885645,0.4433113810211486,0.46422447822640006,0.4784227768320573,0.37027783653128526,0.2453554761500786,0.4647361239214548,0.44394144055404466,0.41074442507869574,0.38141827454137595,0.3894419857616874,0.4173302180695225,0.7023369838760941,1.0,0.35602971478759315,0.27867226163230435,0.40301009794949516,0.38314876974270906,0.6295079838672057,0.4731611610588282,0.34377415959697905
PIKK,0.320137585606145,0.4026790766404518,0.3361287895429524,0.32329838598304933,0.36507531544681127,0.34474498335346343,0.33405011221456204,0.20550431728472549,0.39070530555698985,0.37554781895694095,0.3012259792624013,0.35923418995140166,0.31465797327998296,0.3417082359653451,0.3833211811500968,0.35602971478759315,1.0,0.20329567562944084,0.37742039060856863,0.38215763449239265,0.36520374036265557,0.34734647411249336,0.2773534612756619
PHOR,0.2610892486144629,0.2126799794720088,0.26093306690508694,0.2956483982748384,0.37255092370242454,0.30421810776551694,0.15715868693830826,0.19481814018624646,0.30469049686588817,0.25350969477539415,0.2635443320816259,0.20247123212693569,0.12322988828419405,0.1409402115076632,0.22671684340966589,0.27867226163230435,0.20329567562944084,1.0,0.13172092261247437,0.2505320785731387,0.2559806246549634,0.3013604275742958,0.14780550916827562
AFLT,0.39333445888951496,0.5262107997297099,0.41618705989211785,0.3815529757128393,0.4066204191659337,0.36936511887014056,0.4314959047706068,0.19967461826294614,0.4426208508427031,0.4128843804805354,0.3416567534544736,0.3984048069062843,0.45540879469320283,0.4473170133200027,0.40255641450226104,0.40301009794949516,0.37742039060856863,0.13172092261247437,1.0,0.3792113671941388,0.38065036642645966,0.4205626947103675,0.31951979136268777
RTKM,0.36442439418284067,0.40542333474124154,0.4119030191267727,0.3710218132760121,0.44977230079261277,0.39433212692646163,0.36193944206814405,0.2546147979038516,0.4345497821267661,0.4045909782922315,0.32383024426545487,0.35410508405799834,0.3939537080606248,0.3855019799310878,0.40659223242228626,0.38314876974270906,0.38215763449239265,0.2505320785731387,0.3792113671941388,1.0,0.35953774602215505,0.40155840288880446,0.36173490186134244
MAGN,0.39734471234170304,0.4343377207903979,0.3929173500143082,0.3744466607117801,0.42404004614034485,0.44592222489960615,0.317502323202988,0.21944168224862642,0.42557875991236577,0.3793506075702083,0.3929043840295483,0.39484631305734047,0.3945294587588691,0.37299774892551063,0.6270539537753421,0.6295079838672057,0.36520374036265557,0.2559806246549634,0.38065036642645966,0.35953774602215505,1.0,0.4436072257312398,0.32371062068306067
ALRS,0.4541069932314576,0.5027365069696796,0.48271723264018324,0.48101101217283376,0.5088033260451762,0.4565262907940663,0.39075751346179627,0.26918561852192047,0.5185230177872837,0.46436174580627854,0.39211924574137075,0.4203084342815859,0.43251001831529856,0.40297018653028965,0.445325579807463,0.4731611610588282,0.34734647411249336,0.3013604275742958,0.4205626947103675,0.40155840288880446,0.4436072257312398,1.0,0.36952129154235575
TRNFP,0.3460124626965046,0.3894099178245329,0.36800088366258044,0.390694447558781,0.3681801760168004,0.32485870088801466,0.33580574017217707,0.2245604683081801,0.42338536530719245,0.4284822655367361,0.23101613913727437,0.34723021236677576,0.40628743274758944,0.3621956485774916,0.3823562388954895,0.34377415959697905,0.2773534612756619,0.14780550916827562,0.31951979136268777,0.36173490186134244,0.32371062068306067,0.36952129154235575,1.0
